职位,公司,薪资,城市,公司详情页
AI算法工程师,江苏江南农村商业银行股份有限公司,1.8-2.5万,常州·金坛区,https://jobs.51job.com/all/coBmgGZgBjBThUM1Q-UDQ.html
AI算法工程师,深圳市长亮科技股份有限公司,1.5-2.5万,深圳,https://jobs.51job.com/all/coAWVTPgdkU28BY1A1.html
算法工程师（感知和控制方向）,北京航空航天大学杭州创新研究院,1-2万·16薪,杭州·滨江区,https://jobs.51job.com/all/coBmVcPgBlAzwPaQNpAWM.html
专利工程师（英文撰写）,北京龙双利达知识产权代理有限公司,1-1.5万,北京·海淀区,https://jobs.51job.com/all/coCGhRNwNgVmsFaARnUDA.html
双足强化学习工程师,上海清芸机器人有限公司,3-5万,上海·浦东新区,https://jobs.51job.com/all/coVDQCYFc2BzAEYlEwVjA.html
大模型算法工程师,潍坊赢启信息科技有限公司,3-4万·14薪,北京·朝阳区,https://jobs.51job.com/all/coUzNUM1E3U2tUOQdjVzU.html
图像算法工程师,北京纳析光电科技有限公司,1.5-3万·13薪,北京·海淀区,https://jobs.51job.com/all/coBmcCZ144BzABZwxsVDM.html
大模型算法专家（leader）,安徽职慧猎头数据科技有限公司,10-17万,武汉,https://jobs.51job.com/all/coBWtUM1QyUWgHYgZnBmc.html
大模型算法工程师,浙江大学金华研究院,16-26万/年,金华·金东区,https://jobs.51job.com/all/coUjNQN1Q1AjwPbwZtUzM.html
AI算法工程师,三安光电股份有限公司,1.5-3万·13薪,厦门·思明区,https://jobs.51job.com/all/coVjUAYlIzVG0PagNnVTU.html
图像算法工程师,苏州奈维医疗科技有限公司,1.3-1.6万·13薪,苏州·高新区,https://jobs.51job.com/all/coBWQGYVQ2BzoBYARkAWw.html
AI算法工程师,东莞高伟光学电子有限公司,1-2万,东莞,https://jobs.51job.com/all/coUTUFYgNnDjAHY1Y3VDk.html
视觉开发工程师 AI,捷普集团-绿点科技 （深圳）有限公司,1-1.6万·13薪,深圳,https://jobs.51job.com/all/coCWxUNFEyADdVNA1mB2U.html
包装助理工程师,深圳市百俊达电子有限公司,7千-1万·13薪,深圳·宝安区,https://jobs.51job.com/all/coUjBVMVIyAjUOYwBiAGY.html
AI应用开发工程师（2025届）(J10617),华硕科技（苏州）有限公司,1.3-1.5万,苏州,https://jobs.51job.com/all/coBmICZ1I4Um0GYVQxXDs.html
结构设计工程师,南京安德普电子科技有限公司,8千-1.2万,南京·栖霞区,https://jobs.51job.com/all/coAGFWO1I2U29SNVE0B2I.html
高级Java开发工程师,上海华腾软件系统有限公司,1.6-1.8万·13薪,上海·黄浦区,https://jobs.51job.com/all/coCWwBbVMzVmlUM1MwB2A.html
嵌入式软件工程师,丰度电气（上海）有限公司,12-15万/年,上海·松江区,https://jobs.51job.com/all/coVDAFZ1M1Bz9RMFEyBWA.html
视觉算法工程师,江苏烽禾升智能科技有限公司,1.5-3万,昆山,https://jobs.51job.com/all/coUjZQPVc3VmlSMwJoUTQ.html
应用软件开发工程师,上海嘉应生物科技有限公司,7.5千-1.5万·13薪,苏州·苏州工业园区,https://jobs.51job.com/all/coCGhUNVI0UmgObFE1XDg.html
软件工程师 （AI方向）,苏州紫山龙霖信息科技有限公司,1.5-3万·13薪,苏州,https://jobs.51job.com/all/coUTRQPVE6DjEEYFM1Vjs.html
AI 系统架构师-博士,恩斯迈电子（深圳）有限公司,4-6万,深圳,https://jobs.51job.com/all/coUjZRNwNiDjUFYQxoXDs.html
AI开发工程师,江苏欣网视讯软件技术有限公司,1.5-2.5万,南京·建邺区,https://jobs.51job.com/all/coAWUFaVExDjkGZQNiAWU.html
车载人工智能,陕西凉温信息科技有限公司,6千-1.2万,上海·杨浦区,https://jobs.51job.com/all/coUzxRNFc2Aj4OaFE7AGY.html
算法工程师,敦泰科技（深圳）有限公司,1.1-2万·13薪,合肥,https://jobs.51job.com/all/coA2RUMwdjBDtTMgxqBmo.html
售后技术工程师,广州思涵信息科技有限公司,4.5-6千,广州·天河区,https://jobs.51job.com/all/coBGZcPVUwBjgAYgFrB2o.html
算法工程师（视觉方向）,中博信息技术研究院有限公司,1.2-1.8万,南京·秦淮区,https://jobs.51job.com/all/coVjVTPwRhBDhRNA1s.html
车载人工智能,陕西凉温信息科技有限公司,6千-1.2万,杭州·钱塘区,https://jobs.51job.com/all/coUzxRNFc2Aj4OaFE7AGY.html
AI应用开发工程师,慧算基因科技（上海）有限公司,1-2万,上海·浦东新区,https://jobs.51job.com/all/coCGlVMl46VWkCZ1AwAW0.html
安防工程师,广州思涵信息科技有限公司,4.5-6.5千,广州·天河区,https://jobs.51job.com/all/coBGZcPVUwBjgAYgFrB2o.html
大模型算法工程师,浙江大学高端装备研究院,1.8-3万,杭州·临平区,https://jobs.51job.com/all/coAGBcOlE7Aj4CYA1mVjo.html
车载人工智能,陕西凉温信息科技有限公司,6千-1.2万,南京·江宁区,https://jobs.51job.com/all/coUzxRNFc2Aj4OaFE7AGY.html
研发工程师,智巡密码（上海）检测技术有限公司,1.4-2万·14薪,上海·松江区,https://jobs.51job.com/all/coAGNTNVcyDjlVOQ1oBmc.html
.Net 软件开发工程师,上海危网信息科技有限公司,6千-1万·13薪,上海·浦东新区,https://jobs.51job.com/all/coA2cBYAdmU2xUMlcxXDo.html
SMT/AI工程师（工作地点：昆山）,坚田电机（昆山）有限公司,8千-1万,昆山,https://jobs.51job.com/all/coUzcFYFU_U2UFYw1qAmI.html
车载人工智能,陕西凉温信息科技有限公司,6千-1.2万,南昌·西湖区,https://jobs.51job.com/all/coUzxRNFc2Aj4OaFE7AGY.html
AI视觉软件工程师,上海朗惠包装机械有限公司,2-3.5万,上海·松江区,https://jobs.51job.com/all/coUTBSMVMxAzkObgVmVTI.html
人工智能研发高级工程师,无锡九方科技有限公司,1-2万,无锡·滨湖区,https://jobs.51job.com/all/coAGNTP141BzlRMFMzAGQ.html
生产助理工程师（实习）,珠海行者正道科技有限公司,3.5-3.5千·13薪,珠海·香洲区,https://jobs.51job.com/all/coCGdXMlQ1ATcGYA1oUz4.html
ID工程师,浦江绣龙智能科技有限公司,1.5-2万,金华·浦江县,https://jobs.51job.com/all/coA21SMFc8DzIGaw1rUzY.html
智慧建造售前及解决方案工程师,深圳丰匠数科工程咨询有限公司,1.2-1.6万·13薪,武汉·东湖新技术产业开发区,https://jobs.51job.com/all/coBGsAZVAxU25VMgZtUjI.html
专利工程师（英文撰写）,北京龙双利达知识产权代理有限公司,1-1.5万,北京·海淀区,https://jobs.51job.com/all/coCGhRNwNgVmsFaARnUDA.html
测试工程师-ai人工智能,上海微创软件股份有限公司,1-1.5万,北京·海淀区,https://jobs.51job.com/all/coVTFRNF49DzUGagZt.html
AI架构师,眸芯科技（上海）有限公司,3-6万·14薪,上海·浦东新区,https://jobs.51job.com/all/coVjUFYQJgVGlRNABnAm4.html
AI应用工程师,上海领意信息系统集成股份有限公司,1.5-3万·13薪,上海·长宁区,https://jobs.51job.com/all/coCWwCYQdhAjhRMAdmAm4.html
AI工程师,北京成谱科技有限公司,2-3万,成都,https://jobs.51job.com/all/coBWtTPlM1Vm1VNA1sB2U.html
大数据开发高级工程师（荆门）,湖北亿纬动力有限公司,1.2-2万·14薪,荆门,http://companyads.51job.com/companyads/2022/sz/evebattery/index.html
AI全栈工程师,深圳一家云信息技术有限公司,2-4万,深圳·南山区,https://jobs.51job.com/all/coVjkHYwRnBjkPaFc2VzE.html
初级算法工程师,融捷教育科技有限公司,1.5-2.5万·13薪,北京·海淀区,https://jobs.51job.com/all/coAGUCbwBjUm8OagxnUTY.html
嵌入式软件工程师（内窥镜图像AI方向）,浙江势通机器人科技有限公司,1.5-2.5万,南通·通州区,https://jobs.51job.com/all/coBWsHYAVjBzBUMVM3B2M.html
AI应用工程师,江苏惠江安电力工程有限公司,6千-1万,无锡·梁溪区,https://jobs.51job.com/all/coCGlQNABgDjRUOAFrUzA.html
嵌入式软件工程师,上海光方迅视智能科技有限公司,1.9-3.5万,上海·浦东新区,https://jobs.51job.com/all/coVjdRNVQ3VG0EYwxsVDA.html
AI 提示词开发工程师,广州奔云人工智能科技有限公司,100元/天,广州·越秀区,https://jobs.51job.com/all/coA2wCZlA1BT0OYlYxUDE.html
